i,v,cycle_index,test_time,cell_id
-187.2,0.22014279901302003,1,0.0,ezbatt_10000
-187.2,1.2787746292029185,1,33.62655539648427,ezbatt_10000
-187.2,1.2863834091520934,1,58.62655539648418,ezbatt_10000
-187.2,1.2917255354390291,1,83.62655539648429,ezbatt_10000
-187.2,1.2965951626166985,1,108.6265553964842,ezbatt_10000
-187.2,1.301173539601857,1,133.62655539648432,ezbatt_10000
-187.2,1.3055257132217344,1,158.62655539648424,ezbatt_10000
-187.2,1.3096974470793226,1,183.62655539648415,ezbatt_10000
-187.2,1.313725065677007,1,208.62655539648443,ezbatt_10000
-187.2,1.31763851751165,1,233.62655539648435,ezbatt_10000
-187.2,1.3214632272188467,1,258.62655539648426,ezbatt_10000
-187.2,1.3252213905943826,1,283.6265553964842,ezbatt_10000
-187.2,1.3289329310782112,1,308.6265553964841,ezbatt_10000
-187.2,1.3326162415902976,1,333.6265553964844,ezbatt_10000
-187.2,1.3362887920516824,1,358.6265553964843,ezbatt_10000
-187.2,1.3399676589296292,1,383.6265553964842,ezbatt_10000
-187.2,1.3436700201538718,1,408.62655539648415,ezbatt_10000
-187.2,1.347413652984185,1,433.62655539648404,ezbatt_10000
-187.2,1.3512174722697006,1,458.626555396484,ezbatt_10000
-187.2,1.3551021518741444,1,483.62655539648387,ezbatt_10000
-187.2,1.3590908840395723,1,508.6265553964842,ezbatt_10000
-187.2,1.3632103530725939,1,533.626555396484,ezbatt_10000
-187.2,1.3674920367978975,1,558.626555396484,ezbatt_10000
-187.2,1.3719740129490923,1,583.6265553964839,ezbatt_10000
-187.2,1.3767035600868065,1,608.6265553964843,ezbatt_10000
-187.2,1.3817410489731061,1,633.6265553964842,ezbatt_10000
-187.2,1.3871660190215416,1,658.626555396484,ezbatt_10000
-187.2,1.393087155904508,1,683.6265553964839,ezbatt_10000
-187.2,1.399659721184424,1,708.6265553964839,ezbatt_10000
-187.2,1.407118531572132,1,733.6265553964842,ezbatt_10000
-187.2,1.4158475358486935,1,758.626555396484,ezbatt_10000
-187.2,1.4208866376297462,1,771.126555396484,ezbatt_10000
187.2,1.2120597957070132,1,771.126555396484,ezbatt_10000
187.2,1.190381878463023,1,798.6265553964844,ezbatt_10000
187.2,1.1852424991427317,1,823.6265553964843,ezbatt_10000
187.2,1.181086371539554,1,848.6265553964842,ezbatt_10000
187.2,1.177112750644286,1,873.626555396484,ezbatt_10000
187.2,1.1732436589116881,1,898.6265553964844,ezbatt_10000
187.2,1.1694515422080707,1,923.6265553964843,ezbatt_10000
187.2,1.165714769377802,1,948.6265553964843,ezbatt_10000
187.2,1.1620138929741508,1,973.6265553964842,ezbatt_10000
187.2,1.158330748768225,1,998.6265553964845,ezbatt_10000
187.2,1.154647848011271,1,1023.6265553964844,ezbatt_10000
187.2,1.1509478448329284,1,1048.6265553964843,ezbatt_10000
187.2,1.1472130242311154,1,1073.626555396484,ezbatt_10000
187.2,1.143424770294218,1,1098.626555396484,ezbatt_10000
187.2,1.1395629730851509,1,1123.6265553964845,ezbatt_10000
187.2,1.135605324498418,1,1148.6265553964843,ezbatt_10000
187.2,1.1315264371252256,1,1173.6265553964843,ezbatt_10000
187.2,1.1272966917140108,1,1198.626555396484,ezbatt_10000
187.2,1.1228806703550462,1,1223.6265553964845,ezbatt_10000
187.2,1.1182349490292542,1,1248.6265553964843,ezbatt_10000
187.2,1.1133048750712335,1,1273.6265553964843,ezbatt_10000
187.2,1.1080196814984338,1,1298.626555396484,ezbatt_10000
187.2,1.102284758200744,1,1323.626555396484,ezbatt_10000
187.2,1.0959687988604558,1,1348.6265553964845,ezbatt_10000
187.2,1.0888810798214466,1,1373.6265553964843,ezbatt_10000
187.2,1.0807280530569456,1,1398.626555396484,ezbatt_10000
187.2,1.071021399232929,1,1423.626555396484,ezbatt_10000
187.2,1.0588525537211542,1,1448.6265553964845,ezbatt_10000
187.2,1.0421966752276812,1,1473.6265553964845,ezbatt_10000
187.2,1.0145373512852767,1,1498.6265553964843,ezbatt_10000
187.2,0.540554869671092,1,1523.626555396484,ezbatt_10000
187.2,-0.744990684055763,1,1542.2529602050777,ezbatt_10000
-187.2,0.22036808735957839,2,1542.2529602050777,ezbatt_10000
-187.2,1.2789542232356803,2,1575.7143392099604,ezbatt_10000
-187.2,1.2865903447779972,2,1600.7143392099601,ezbatt_10000
-187.2,1.2919480864228574,2,1625.7143392099604,ezbatt_10000
-187.2,1.296831213747261,2,1650.7143392099604,ezbatt_10000
-187.2,1.3014219840810888,2,1675.7143392099604,ezbatt_10000
-187.2,1.305785833242908,2,1700.7143392099604,ezbatt_10000
-187.2,1.3099687951464676,2,1725.7143392099601,ezbatt_10000
-187.2,1.3140074067286542,2,1750.7143392099606,ezbatt_10000
-187.2,1.3179317939203437,2,1775.7143392099604,ezbatt_10000
-187.2,1.3217675379830385,2,1800.7143392099604,ezbatt_10000
-187.2,1.3255369806265385,2,1825.7143392099601,ezbatt_10000
-187.2,1.329260188388234,2,1850.7143392099601,ezbatt_10000
-187.2,1.3329557013029318,2,1875.7143392099606,ezbatt_10000
-187.2,1.3366411470043502,2,1900.7143392099604,ezbatt_10000
-187.2,1.3403337772750192,2,1925.7143392099604,ezbatt_10000
-187.2,1.3440509710753568,2,1950.7143392099601,ezbatt_10000
-187.2,1.3478107424436476,2,1975.7143392099601,ezbatt_10000
-187.2,1.3516322917910142,2,2000.7143392099601,ezbatt_10000
-187.2,1.355536644929267,2,2025.71433920996,ezbatt_10000
-187.2,1.3595474369830083,2,2050.71433920996,ezbatt_10000
-187.2,1.3636919213406982,2,2075.71433920996,ezbatt_10000
-187.2,1.3680023232959417,2,2100.71433920996,ezbatt_10000
-187.2,1.372517726168912,2,2125.71433920996,ezbatt_10000
-187.2,1.377286798468832,2,2150.71433920996,ezbatt_10000
-187.2,1.382371893644493,2,2175.71433920996,ezbatt_10000
-187.2,1.3878554879924498,2,2200.71433920996,ezbatt_10000
-187.2,1.3938508247240402,2,2225.71433920996,ezbatt_10000
-187.2,1.4005206712190175,2,2250.7143392099597,ezbatt_10000
-187.2,1.4081132264653742,2,2275.71433920996,ezbatt_10000
-187.2,1.4170391357851415,2,2300.71433920996,ezbatt_10000
-187.2,1.4208670993921317,2,2310.08933920996,ezbatt_10000
187.2,1.2119480843105455,2,2310.08933920996,ezbatt_10000
187.2,1.189435737464428,2,2340.71433920996,ezbatt_10000
187.2,1.1843912810175563,2,2365.71433920996,ezbatt_10000
187.2,1.1802491760340508,2,2390.71433920996,ezbatt_10000
187.2,1.1762805829780785,2,2415.7143392099597,ezbatt_10000
187.2,1.172412553204441,2,2440.71433920996,ezbatt_10000
187.2,1.168618143890588,2,2465.71433920996,ezbatt_10000
187.2,1.1648759238855841,2,2490.71433920996,ezbatt_10000
187.2,1.1611665169411958,2,2515.7143392099597,ezbatt_10000
187.2,1.1574717317636727,2,2540.71433920996,ezbatt_10000
187.2,1.1537739602773742,2,2565.71433920996,ezbatt_10000
187.2,1.1500556425490354,2,2590.71433920996,ezbatt_10000
187.2,1.1462987449891213,2,2615.71433920996,ezbatt_10000
187.2,1.1424842106442539,2,2640.7143392099597,ezbatt_10000
187.2,1.1385913379069754,2,2665.71433920996,ezbatt_10000
187.2,1.1345970342005802,2,2690.71433920996,ezbatt_10000
187.2,1.1304748724066447,2,2715.71433920996,ezbatt_10000
187.2,1.126193845220882,2,2740.7143392099597,ezbatt_10000
187.2,1.1217166569972044,2,2765.71433920996,ezbatt_10000
187.2,1.1169972961381,2,2790.71433920996,ezbatt_10000
187.2,1.1119774582184772,2,2815.71433920996,ezbatt_10000
187.2,1.1065810666592677,2,2840.7143392099597,ezbatt_10000
187.2,1.100705499420132,2,2865.7143392099597,ezbatt_10000
187.2,1.0942067839887295,2,2890.71433920996,ezbatt_10000
187.2,1.086872941170316,2,2915.71433920996,ezbatt_10000
187.2,1.0783718244898957,2,2940.71433920996,ezbatt_10000
187.2,1.0681369139734254,2,2965.7143392099597,ezbatt_10000
187.2,1.055073031124887,2,2990.71433920996,ezbatt_10000
187.2,1.0365662182787367,2,3015.71433920996,ezbatt_10000
187.2,1.0024859153330512,2,3040.71433920996,ezbatt_10000
187.2,-0.3742128745403097,2,3065.7143392099597,ezbatt_10000
187.2,-0.7456508763429154,2,3077.925949096679,ezbatt_10000
-187.2,0.22059082203875263,3,3077.925949096679,ezbatt_10000
-187.2,1.2826851170270994,3,3123.7217702402336,ezbatt_10000
-187.2,1.2895161118861234,3,3148.721770240233,ezbatt_10000
-187.2,1.294660435021171,3,3173.7217702402336,ezbatt_10000
-187.2,1.2994031010669258,3,3198.721770240233,ezbatt_10000
-187.2,1.3038860072139866,3,3223.7217702402336,ezbatt_10000
-187.2,1.3081657355930734,3,3248.721770240233,ezbatt_10000
-187.2,1.3122834671218273,3,3273.721770240233,ezbatt_10000
-187.2,1.3162724532470826,3,3298.7217702402336,ezbatt_10000
-187.2,1.3201605212124532,3,3323.7217702402336,ezbatt_10000
-187.2,1.3239716439217282,3,3348.721770240233,ezbatt_10000
-187.2,1.3277270644514694,3,3373.721770240233,ezbatt_10000
-187.2,1.331446147550206,3,3398.721770240233,ezbatt_10000
-187.2,1.3351470593513497,3,3423.7217702402336,ezbatt_10000
-187.2,1.3388473433777581,3,3448.7217702402336,ezbatt_10000
-187.2,1.3425644429480696,3,3473.721770240233,ezbatt_10000
-187.2,1.3463162111666511,3,3498.721770240233,ezbatt_10000
-187.2,1.350121447232913,3,3523.721770240233,ezbatt_10000
-187.2,1.3540005010959946,3,3548.721770240233,ezbatt_10000
-187.2,1.3579759981976984,3,3573.721770240233,ezbatt_10000
-187.2,1.3620737545368504,3,3598.721770240233,ezbatt_10000
